AAA,SOLD PRICE,SQFT,BEDS,BATH,PARK,Bay Street,Dufferin Grove,Kensington / China town,Little Portugal,Niagara,Palmerston / Little Italy,Trinity Bellwoods,University,Waterfront
adfgh,750000,800-899,2,2,,,,,,1,,,,
adfgh,490000,500-599,1,1,,,,,,1,,,,
adfgh,560000,600-699,1,1,,,,,,1,,,,
adfgh,720000,800-899,2,2,,,,,,1,,,,
adfgh,720000,800-899,2,2,,,,,,1,,,,
adfgh,616500,700-799,1,1,1,,,,,1,,,,
adfgh,609000,700-799,2,2,,,,,,1,,,,
adfgh,765000,800-899,2,2,,,,,,1,,,,
adfgh,615000,700-799,1,2,,,,,,1,,,,
adfgh,595000,600-699,1,1,,,,,,1,,,,
adfgh,1727500,1600-1799,2,2,,,,,,1,,,,
adfgh,588000,600-699,1,2,,,,,,1,,,,
adfgh,492000,600-699,1,1,,,,,,1,,,,
adfgh,855000,1000-1199,2,2,,,,,,1,,,,
adfgh,640000,700-799,1,1,,,,,,1,,,,
adfgh,530000,500-599,1,1,,,,,,1,,,,
adfgh,620000,700-799,1,1,,,,,,1,,,,
adfgh,386000,0-499,1,1,,,,,,1,,,,
adfgh,537000,600-699,1,1,,,,,,1,,,,
adfgh,640000,700-799,1,1,,,,,,1,,,,
adfgh,686000,700-799,1,1,,,,,,1,,,,
adfgh,610000,600-699,1,1,,,,,,1,,,,
adfgh,705000,800-899,2,1,,,,,,1,,,,
adfgh,510000,500-599,1,1,,,,,,1,,,,
adfgh,572000,600-699,1,1,,,,,,1,,,,
adfgh,640000,700-799,2,2,0,,,,,1,,,,
adfgh,525000,600-699,1,1,,,,,,1,,,,
adfgh,778000,800-899,2,2,,,,,,1,,,,
adfgh,565000,600-699,1,1,,,,,,1,,,,
adfgh,610000,600-699,1,2,,,,,,1,,,,
adfgh,505000,700-799,1,1,,,,,,1,,,,
adfgh,580000,500-599,1,1,,,,,,1,,,,
adfgh,820999,1000-1199,2,2,,,,,,1,,,,
adfgh,839000,1000-1199,2,2,,,,,,1,,,,
adfgh,750000,800-899,2,2,,,,,,1,,,,
adfgh,735000,900-999,2,2,,,,,,1,,,,
adfgh,740000,900-999,2,2,,,,,,1,,,,
adfgh,520000,600-699,1,1,,,,,,1,,,,
adfgh,510000,0-499,1,1,0,,,,,1,,,,
adfgh,690000,700-799,2,2,,,,,,1,,,,
adfgh,859000,1400-1599,3,3,,,,,,1,,,,
adfgh,500000,0-499,1,1,,,,,,1,,,,
adfgh,585000,600-699,1,1,,,,,,1,,,,
adfgh,593000,600-699,1,1,,,,,,1,,,,
adfgh,582000,500-599,1,2,1,,,,,1,,,,
adfgh,560000,700-799,2,1,,,,,,1,,,,
adfgh,515000,500-599,1,1,,,,,,1,,,,
adfgh,590000,600-699,1,1,,,,,,1,,,,
adfgh,681000,1000-1199,2,2,,,,,,1,,,,
adfgh,781000,700-799,1,2,,,,,,1,,,,
adfgh,483000,0-499,1,1,,,,,,1,,,,
adfgh,680000,800-899,1,2,,,,,,1,,,,
adfgh,985000,900-999,1,2,,,,,,1,,,,
adfgh,743000,900-999,1,1,,,,,,1,,,,
adfgh,758000,800-899,2,2,,,,,,1,,,,
adfgh,522000,600-699,1,1,,,,,,1,,,,
adfgh,713000,700-799,2,2,,,,,,1,,,,
adfgh,680000,800-899,2,2,,,,,,1,,,,
adfgh,488000,500-599,1,1,0,,,,,1,,,,
adfgh,812000,1000-1199,2,2,1,,,,,1,,,,
adfgh,830000,1000-1199,2,2,,,,,,1,,,,
adfgh,585000,600-699,1,1,,,,,,1,,,,
adfgh,790000,1000-1199,2,2,,,,,,1,,,,
adfgh,715000,700-799,2,1,,,,,,1,,,,
adfgh,913500,1200-1399,2,3,1,,,,,1,,,,
adfgh,534900,600-699,1,1,,,,,,1,,,,
adfgh,383000,0-499,0,1,0,,,,,1,,,,
adfgh,560000,600-699,1,1,0,,,,,1,,,,
adfgh,782500,1000-1199,2,2,,,,,,1,,,,
adfgh,545500,700-799,1,1,1,,,,,1,,,,
adfgh,608000,600-699,1,2,,,,,,1,,,,
adfgh,650000,600-699,1,1,,,,,,1,,,,
adfgh,900000,1000-1199,2,2,,,,,,1,,,,
adfgh,558000,600-699,1,1,1,,,,,1,,,,
adfgh,651000,700-799,1,1,,,,,,1,,,,
adfgh,465000,500-599,1,1,,,,,,1,,,,
adfgh,601000,600-699,1,1,1,,,,,1,,,,
adfgh,418000,0-499,0,1,0,,,,,1,,,,
adfgh,675100,600-699,1,1,0,,,,,1,,,,
adfgh,1185000,1000-1199,2,2,1,,,,,1,,,,
adfgh,600000,700-799,2,2,1,,,,,1,,,,
adfgh,595000,600-699,1,1,1,,,,,1,,,,
adfgh,659000,700-799,1,2,0,,,,,1,,,,
adfgh,1201000,1200-1399,1,2,1,,,,,1,,,,
adfgh,755500,800-899,2,2,1,,,,,1,,,,
adfgh,540000,600-699,1,1,1,,,,,1,,,,
adfgh,655000,700-799,1,1,1,,,,,1,,,,
adfgh,505000,500-599,1,1,0,,,,,1,,,,
adfgh,472100,0-499,1,1,0,,,,,1,,,,
adfgh,572500,500-599,1,1,0,,,,,1,,,,
adfgh,834500,1000-1199,2,2,1,,,,,1,,,,
adfgh,397000,0-499,0,1,1,,,,,1,,,,
adfgh,615000,700-799,1,1,1,,,,,1,,,,
adfgh,695000,700-799,2,2,0,,,,,1,,,,
adfgh,663000,700-799,1,1,1,,,,,1,,,,
adfgh,535000,500-599,1,1,0,,,,,1,,,,
adfgh,761000,900-999,2,2,1,,,,,1,,,,
adfgh,692000,800-899,2,1,1,,,,,1,,,,
adfgh,398000,0-499,0,1,0,,,,,1,,,,
adfgh,620000,700-799,1,1,0,,,,,1,,,,
adfgh,562000,600-699,1,1,1,,,,,1,,,,
adfgh,535000,600-699,1,1,0,,,,,1,,,,
adfgh,876000,2000-2249,3,3,1,,,,,1,,,,
adfgh,952000,1200-1399,3,2,1,,,,,1,,,,
adfgh,800000,1000-1199,2,2,1,,,,,1,,,,
adfgh,665000,700-799,2,2,1,,,,,1,,,,
adfgh,580000,600-699,1,1,1,,,,,1,,,,
adfgh,820000,800-899,1,1,1,,,,,1,,,,
adfgh,658000,700-799,1,1,1,,,,,1,,,,
adfgh,550000,500-599,1,1,1,,,,,1,,,,
adfgh,708000,800-899,2,2,1,,,,,1,,,,
adfgh,381500,0-499,0,1,0,,,,,1,,,,
adfgh,755000,800-899,1,1,1,,,,,1,,,,
adfgh,511000,500-599,1,1,0,,,,,1,,,,
adfgh,765000,900-999,2,2,1,,,,,1,,,,
adfgh,970000,1400-1599,2,3,1,,,,,1,,,,
adfgh,687500,900-999,2,2,1,,,,,1,,,,
adfgh,550000,500-599,1,1,1,,,,,1,,,,
adfgh,585000,600-699,1,1,1,,,,,1,,,,
adfgh,565000,600-699,1,1,1,,,,,1,,,,
adfgh,404000,0-499,0,1,0,,,,,1,,,,
adfgh,701000,800-899,2,2,1,,,,,1,,,,
adfgh,725000,700-799,2,2,1,,,,,1,,,,
adfgh,695000,700-799,1,2,1,,,,,1,,,,
adfgh,606000,700-799,1,1,1,,,,,1,,,,
adfgh,645000,600-699,1,1,1,,,,,1,,,,
adfgh,640000,900-999,2,2,1,,,,,1,,,,
adfgh,1450000,1400-1599,1,1,1,,,,,1,,,,
adfgh,715000,700-799,2,2,1,,,,,1,,,,
adfgh,483000,500-599,1,1,1,,,,,1,,,,
adfgh,505000,500-599,1,1,1,,,,,1,,,,
adfgh,490000,500-599,1,1,0,,,,,1,,,,
adfgh,588000,600-699,1,1,1,,,,,1,,,,
adfgh,677500,700-799,1,2,1,,,,,1,,,,
adfgh,452500,0-499,1,1,1,,,,,1,,,,
adfgh,667000,700-799,2,2,1,,,,,1,,,,
adfgh,601000,600-699,1,2,1,,,,,1,,,,
adfgh,622000,600-699,2,1,1,,,,,1,,,,
adfgh,540000,500-599,1,1,1,,,,,1,,,,
adfgh,715000,600-699,1,1,0,,,,,1,,,,
adfgh,680000,800-899,2,2,1,,,,,1,,,,
adfgh,439900,500-599,0,1,0,,,,,1,,,,
adfgh,632000,700-799,1,1,1,,,,,1,,,,
adfgh,550000,700-799,1,1,1,,,,,1,,,,
adfgh,638000,800-899,1,1,1,,,,,1,,,,
adfgh,579000,600-699,1,1,1,,,,,1,,,,
adfgh,450000,0-499,1,1,0,,,,,1,,,,
adfgh,455000,0-499,1,1,0,,,,,1,,,,
adfgh,541000,600-699,1,1,1,,,,,1,,,,
adfgh,815000,900-999,2,2,2,,,,,1,,,,
adfgh,570000,600-699,1,1,1,,,,,1,,,,
adfgh,968000,1000-1199,2,2,1,,,,,1,,,,
adfgh,1200000,1600-1799,3,4,2,,,,,1,,,,
adfgh,820000,1200-1399,2,3,1,,,,,1,,,,
adfgh,720000,800-899,2,2,1,,,,,1,,,,
adfgh,588500,600-699,1,1,1,,,,,1,,,,
adfgh,661000,600-699,1,1,1,,,,,1,,,,
adfgh,620000,600-699,1,2,1,,,,,1,,,,
adfgh,585000,700-799,2,1,1,,,,,1,,,,
adfgh,766000,800-899,1,1,1,,,,,1,,,,
adfgh,950000,1200-1399,2,3,1,,,,,1,,,,
adfgh,810000,1200-1399,2,2,1,,,,,1,,,,
adfgh,680000,1000-1199,2,1,1,,,,,1,,,,
adfgh,647000,600-699,2,1,1,,,,,1,,,,
adfgh,665000,800-899,2,2,0,,,,,1,,,,
adfgh,546125,500-599,1,1,0,,,,,1,,,,
adfgh,560000,600-699,1,1,1,,,,,1,,,,
adfgh,690000,700-799,1,1,1,,,,,1,,,,
adfgh,890000,900-999,2,2,1,,,,,1,,,,
adfgh,510000,600-699,1,1,1,,,,,1,,,,
adfgh,815000,800-899,2,2,1,,,,,1,,,,
adfgh,480000,500-599,1,1,1,,,,,1,,,,
adfgh,675000,800-899,3,1,1,,,,,1,,,,
adfgh,519900,500-599,1,1,1,,,,,1,,,,
adfgh,615000,600-699,1,1,1,,,,,1,,,,
adfgh,515000,500-599,1,1,1,,,,,1,,,,
adfgh,645000,800-899,1,1,1,,,,,1,,,,
adfgh,515000,500-599,1,1,1,,,,,1,,,,
adfgh,555000,600-699,1,1,1,,,,,1,,,,
adfgh,705000,700-799,2,2,1,,,,,1,,,,
adfgh,555000,600-699,1,1,1,,,,,1,,,,
adfgh,717000,800-899,1,1,1,,,,,1,,,,
adfgh,515000,500-599,1,1,1,,,,,1,,,,
adfgh,606000,700-799,2,2,1,,,,,1,,,,
adfgh,611000,800-899,1,1,1,,,,,1,,,,
adfgh,500100,500-599,1,1,1,,,,,1,,,,
adfgh,463000,500-599,1,1,0,,,,,1,,,,
adfgh,690000,800-899,1,2,1,,,,,1,,,,
adfgh,655000,800-899,2,1,1,,,,,1,,,,
adfgh,579000,600-699,1,1,1,,,,,1,,,,
adfgh,595000,700-799,1,1,1,,,,,1,,,,
adfgh,853000,1000-1199,2,2,1,,,,,1,,,,
adfgh,581500,500-599,1,1,1,,,,,1,,,,
adfgh,715000,800-899,2,2,1,,,,,1,,,,
adfgh,667500,800-899,1,2,1,,,,,1,,,,
adfgh,545100,500-599,1,1,1,,,,,1,,,,
adfgh,518000,500-599,1,1,1,,,,,1,,,,
adfgh,750000,800-899,2,2,1,,,,,1,,,,
adfgh,940000,1400-1599,2,2,1,,,,,1,,,,
adfgh,520000,600-699,1,1,1,,,,,1,,,,
adfgh,750000,1000-1199,2,2,1,,,,,1,,,,
adfgh,682000,600-699,1,1,1,,,,,1,,,,
adfgh,890000,1000-1199,2,2,1,,,,,1,,,,
adfgh,835000,900-999,2,2,1,,,,,1,,,,
adfgh,696000,900-999,1,2,2,,,,,1,,,,
adfgh,590000,600-699,1,1,1,,,,,1,,,,
adfgh,562888,500-599,1,1,0,,,,,1,,,,
adfgh,490000,0-499,1,1,1,,,,,1,,,,
adfgh,520000,500-599,1,1,1,,,,,1,,,,
adfgh,537500,500-599,1,1,1,,,,,1,,,,
adfgh,893000,900-999,2,2,1,,,,,1,,,,
adfgh,633917,800-899,2,1,1,,,,,1,,,,
adfgh,675000,600-699,1,1,1,,,,,1,,,,
adfgh,960000,900-999,1,1,1,,,,,1,,,,
adfgh,1090000,1000-1199,2,3,1,,,,,1,,,,
adfgh,500000,500-599,1,1,0,,,,,1,,,,
adfgh,835000,1000-1199,3,2,1,,,,,1,,,,
adfgh,971000,1400-1599,3,3,1,,,,,1,,,,
adfgh,953000,1200-1399,3,2,2,,,,,1,,,,
adfgh,760000,900-999,2,2,1,,,,,1,,,,
adfgh,751000,800-899,2,2,1,,,,,1,,,,
adfgh,535000,500-599,1,1,0,,,,,1,,,,
adfgh,529500,500-599,1,1,1,,,,,1,,,,
adfgh,681500,800-899,2,1,1,,,,,1,,,,
adfgh,560000,600-699,1,1,1,,,,,1,,,,
adfgh,593000,600-699,1,1,1,,,,,1,,,,
adfgh,565000,600-699,1,1,1,,,,,1,,,,
adfgh,630000,700-799,1,2,1,,,,,1,,,,
adfgh,475000,500-599,1,1,0,,,,,1,,,,
adfgh,548800,0-499,1,1,0,,,,,1,,,,
adfgh,610000,600-699,1,2,1,,,,,1,,,,
adfgh,500000,500-599,1,1,0,,,,,1,,,,
adfgh,635700,600-699,1,1,1,,,,,1,,,,
adfgh,750000,900-999,2,2,1,,,,,1,,,,
adfgh,590000,700-799,1,1,1,,,,,1,,,,
adfgh,565000,600-699,1,1,0,,,,,1,,,,
adfgh,960000,1200-1399,3,2,2,,,,,1,,,,
adfgh,518215,500-599,1,1,0,,,,,1,,,,
adfgh,600000,600-699,1,1,1,,,,,1,,,,
adfgh,560000,600-699,1,1,1,,,,,1,,,,
adfgh,552000,0-499,1,1,0,,,,,1,,,,
adfgh,525000,600-699,1,1,0,,,,,1,,,,
adfgh,900000,900-999,1,2,1,,,,,1,,,,
adfgh,630000,600-699,1,1,1,,,,,1,,,,
adfgh,825000,1000-1199,2,2,1,,,,,1,,,,
adfgh,1050000,1000-1199,1,2,1,,,,,1,,,,
adfgh,562500,600-699,1,1,0,,,,,1,,,,
adfgh,605000,600-699,1,1,0,,,,,1,,,,
adfgh,675000,700-799,1,1,1,,,,,1,,,,
adfgh,503000,500-599,1,2,0,,,,,1,,,,
adfgh,550000,600-699,1,1,1,,,,,1,,,,
adfgh,583000,600-699,1,1,1,,,,,1,,,,
adfgh,755000,600-699,1,1,1,,,,,1,,,,
adfgh,550000,500-599,1,1,0,,,,,1,,,,
adfgh,720000,800-899,1,2,1,,,,,1,,,,
adfgh,391900,0-499,0,1,0,,,,,1,,,,
adfgh,527000,600-699,1,1,1,,,,,1,,,,
adfgh,425000,0-499,0,1,0,,,,,1,,,,
adfgh,740000,800-899,2,2,1,,,,,1,,,,
adfgh,530000,500-599,1,1,0,,,,,1,,,,
adfgh,570000,700-799,1,1,0,,,,,1,,,,
adfgh,812000,700-799,1,1,1,,,,,1,,,,
adfgh,635000,500-699,2,1,1,,,,,1,,,,
adfgh,830000,900-999,2,2,1,,,,,1,,,,
adfgh,545000,600-699,1,1,0,,,,,1,,,,
adfgh,557500,600-699,1,1,1,,,,,1,,,,
adfgh,1245000,1800-1999,3,3,1,,,,,1,,,,
adfgh,565000,600-699,1,2,1,,,,,1,,,,
adfgh,560000,600-699,1,1,1,,,,,1,,,,
adfgh,1050000,1000-1199,2,1,1,,,,,1,,,,
adfgh,600000,600-699,1,2,1,,,,,1,,,,
adfgh,610000,700-799,1,1,1,,,,,1,,,,
adfgh,655000,600-699,1,1,1,,,,,1,,,,
adfgh,851000,1000-1199,2,2,2,,,,,1,,,,
adfgh,646000,700-799,2,2,1,,,,,1,,,,
adfgh,620000,600-699,1,1,1,,,,,1,,,,
adfgh,832000,1000-1199,2,2,1,,,,,1,,,,
adfgh,679000,700-799,1,2,1,,,,,1,,,,
adfgh,846000,1000-1199,2,2,1,,,,,1,,,,
adfgh,799000,700-799,1,1,1,,,,,1,,,,
adfgh,575000,600-699,1,1,0,,,,,1,,,,
adfgh,592767,600-699,1,1,1,,,,,1,,,,
adfgh,1299000,1200-1399,2,3,1,,,,,1,,,,
adfgh,680000,800-899,2,2,1,,,,,1,,,,
adfgh,710000,1000-1199,2,2,1,,,,,1,,,,
adfgh,499000,500-599,1,1,0,,,,,1,,,,
adfgh,408000,0-499,0,1,0,,,,,1,,,,
adfgh,658000,900-999,2,1,1,,,,,1,,,,
adfgh,536000,600-699,1,1,1,,,,,1,,,,
adfgh,669000,800-899,2,2,1,,,,,1,,,,
adfgh,850000,1000-1199,2,2,1,,,,,1,,,,
adfgh,565000,600-699,1,1,0,,,,,1,,,,
adfgh,625000,700-799,1,1,0,,,,,1,,,,
adfgh,638000,600-699,1,2,1,,,,,1,,,,
adfgh,595000,600-699,1,1,1,,,,,1,,,,
adfgh,675000,800-899,1,2,1,,,,,1,,,,
adfgh,585000,700-799,1,1,1,,,,,1,,,,
adfgh,555000,700-799,1,1,1,,,,,1,,,,
adfgh,640000,600-699,1,1,1,,,,,1,,,,
adfgh,625000,600-699,1,1,1,,,,,1,,,,
adfgh,620000,600-699,1,1,1,,,,,1,,,,
adfgh,559900,600-699,1,1,1,,,,,1,,,,
adfgh,620000,700-799,1,1,1,,,,,1,,,,
adfgh,905000,1000-1199,1,2,1,,,,,1,,,,
adfgh,775000,900-999,1,1,1,,,,,1,,,,
adfgh,1070000,1200-1399,2,2,1,,,,,1,,,,
adfgh,670000,700-799,1,2,1,,,,,1,,,,
adfgh,688000,800-899,1,1,1,,,,,1,,,,
adfgh,960000,1000-1199,2,2,1,,,,,1,,,,
adfgh,615000,600-699,1,1,1,,,,,1,,,,
adfgh,790000,700-799,2,2,1,,,,,1,,,,
adfgh,612888,600-699,1,1,1,,,,,1,,,,
adfgh,601000,600-699,1,2,1,,,,,1,,,,
adfgh,545000,600-699,1,1,1,,,,,1,,,,
adfgh,830000,1000-1199,3,2,0,,,,,1,,,,
adfgh,720000,700-799,2,2,1,,,,,1,,,,
adfgh,768300,800-899,2,2,1,,,,,1,,,,
adfgh,579990,500-599,1,1,1,,,,,1,,,,
adfgh,538000,500-599,1,1,1,,,,,1,,,,
adfgh,795000,900-999,2,2,1,,,,,1,,,,
adfgh,515000,500-599,1,1,0,,,,,1,,,,
adfgh,495000,600-699,1,1,0,,,,,1,,,,
adfgh,570000,500-599,1,1,1,,,,,1,,,,
adfgh,494500,500-599,1,1,0,,,,,1,,,,
adfgh,705000,900-999,2,1,1,,,,,1,,,,
adfgh,599900,600-699,1,1,1,,,,,1,,,,
adfgh,660000,600-699,2,1,1,,,,,1,,,,
adfgh,675000,800-899,1,2,1,,,,,1,,,,
adfgh,995000,1000-1199,2,2,1,,,,,1,,,,
adfgh,1018000,1000-1199,2,2,1,,,,,1,,,,
adfgh,500000,600-699,1,1,0,,,,,1,,,,
adfgh,590000,600-699,1,1,0,,,,,1,,,,
adfgh,865000,900-999,2,2,1,,,,,1,,,,
adfgh,670000,700-799,2,2,1,,,,,1,,,,
adfgh,875000,1000-1199,2,2,1,,,,,1,,,,
adfgh,650000,700-799,2,2,1,,,,,1,,,,
adfgh,580000,600-699,1,1,1,,,,,1,,,,
adfgh,571000,600-699,1,1,1,,,,,1,,,,
adfgh,702290,700-799,2,2,1,,,,,1,,,,
adfgh,455000,0-499,0,1,1,,,,,1,,,,
adfgh,510888,500-599,1,1,1,,,,,1,,,,
adfgh,820000,1000-1199,3,2,1,,,,,1,,,,
adfgh,1025000,1400-1599,2,2,1,,,,,1,,,,
adfgh,745000,800-899,2,2,1,,,,,1,,,,
adfgh,445500,500-599,1,1,0,,,,,1,,,,
adfgh,700000,800-899,2,1,1,,,,,1,,,,
adfgh,851000,1000-1199,3,2,1,,,,,1,,,,
adfgh,1025000,1000-1199,2,2,1,,,,,1,,,,
adfgh,561000,800-899,2,1,1,,,,,1,,,,
adfgh,499900,0-499,1,1,0,,,,,1,,,,
adfgh,681000,700-799,1,2,1,,,,,1,,,,
adfgh,560000,700-799,1,1,1,,,,,1,,,,
adfgh,540000,500-599,1,1,1,,,,,1,,,,
adfgh,902500,900-999,1,1,0,,,,,1,,,,
adfgh,515000,600-699,1,1,0,,,,,1,,,,
adfgh,498553,500-599,1,1,0,,,,,1,,,,
adfgh,590000,600-699,1,1,1,,,,,1,,,,
adfgh,410000,0-499,0,1,0,,,,,1,,,,
adfgh,650000,700-799,1,1,1,,,,,1,,,,
adfgh,526000,500-599,1,1,0,,,,,1,,,,
adfgh,534000,600-699,1,1,0,,,,,1,,,,
adfgh,655000,700-799,2,2,1,,,,,1,,,,
adfgh,520000,500-599,1,1,1,,,,,1,,,,
adfgh,383500,0-499,0,1,0,,,,,1,,,,
adfgh,810000,900-999,2,2,1,,,,,1,,,,
adfgh,355000,0-499,0,1,0,,,,,1,,,,
adfgh,635000,700-799,1,1,1,,,,,1,,,,
adfgh,772000,800-899,2,2,1,,,,,1,,,,
adfgh,830000,1000-1199,3,2,1,,,,,1,,,,
adfgh,642000,600-699,1,2,1,,,,,1,,,,
adfgh,980000,1000-1199,2,2,1,,,,,1,,,,
adfgh,510000,600-699,1,1,0,,,,,1,,,,
adfgh,662000,700-799,1,2,1,,,,,1,,,,
adfgh,530000,500-599,1,1,1,,,,,1,,,,
adfgh,756800,800-899,2,2,1,,,,,1,,,,
adfgh,556000,500-599,1,1,1,,,,,1,,,,
adfgh,683000,700-799,2,2,1,,,,,1,,,,
adfgh,500000,600-699,1,1,1,,,,,1,,,,
adfgh,872000,1200-1399,2,3,1,,,,,1,,,,
adfgh,735000,800-899,2,2,1,,,,,1,,,,
adfgh,653000,600-699,1,1,1,,,,,1,,,,
adfgh,775000,900-999,2,2,1,,,,,1,,,,
adfgh,617500,600-699,1,1,1,,,,,1,,,,
adfgh,780000,900-999,2,2,1,,,,,1,,,,
adfgh,651000,600-699,1,2,1,,,,,1,,,,
adfgh,630000,700-799,1,1,1,,,,,1,,,,
adfgh,640000,600-699,1,1,2,,,,,1,,,,
adfgh,508600,500-599,1,1,0,,,,,1,,,,
adfgh,790000,900-999,2,2,1,,,,,1,,,,
adfgh,1250000,900-999,1,2,1,,,,,1,,,,
adfgh,640000,700-799,2,2,1,,,,,1,,,,
adfgh,700000,900-999,2,2,1,,,,,1,,,,
adfgh,652500,800-899,2,1,0,,,,,1,,,,
adfgh,627000,700-799,1,1,1,,,,,1,,,,
adfgh,525000,500-599,1,1,1,,,,,1,,,,
adfgh,1198000,1200-1399,2,2,2,,,,,1,,,,
adfgh,585000,600-699,1,1,0,,,,,1,,,,
adfgh,530000,500-599,1,1,0,,,,,1,,,,
adfgh,588800,600-699,1,2,1,,,,,1,,,,
adfgh,700000,700-799,2,2,1,,,,,1,,,,
adfgh,635000,600-699,1,1,1,,,,,1,,,,
adfgh,680000,800-899,2,1,1,,,,,1,,,,
adfgh,484000,500-599,1,1,0,,,,,1,,,,
adfgh,752000,1000-1199,2,2,1,,,,,1,,,,
adfgh,690000,800-899,1,2,1,,,,,1,,,,
adfgh,667000,700-799,1,1,1,,,,,1,,,,
adfgh,748000,700-799,2,1,1,,,,,1,,,,
adfgh,580000,500-599,1,2,1,,,,,1,,,,
adfgh,629000,700-799,1,1,1,,,,,1,,,,
adfgh,570000,600-699,1,1,0,,,,,1,,,,
adfgh,467500,500-599,0,1,0,,,,,1,,,,
adfgh,670000,600-699,1,1,1,,,,,1,,,,
adfgh,550000,500-599,1,1,1,,,,,1,,,,
adfgh,732500,700-799,1,1,1,,,,,1,,,,
adfgh,829850,800-899,2,2,1,,,,,1,,,,
adfgh,780000,900-999,2,2,1,,,,,1,,,,
adfgh,775000,900-999,2,2,1,,,,,1,,,,
adfgh,449300,0-499,1,1,0,,,,,1,,,,
adfgh,560000,600-699,1,1,0,,,,,1,,,,
adfgh,480000,500-599,1,1,0,,,,,1,,,,
adfgh,625000,800-899,1,1,1,,,,,1,,,,
adfgh,552000,600-699,2,1,0,,,,,1,,,,
adfgh,685000,600-699,1,1,0,,,,,1,,,,
adfgh,621500,600-699,1,1,1,,,,,1,,,,
adfgh,553000,600-699,1,1,0,,,,,1,,,,
adfgh,815000,600-699,1,1,1,,,,,1,,,,
adfgh,569000,600-699,1,1,0,,,,,1,,,,
adfgh,645000,700-799,1,2,1,,,,,1,,,,
adfgh,855000,1000-1199,2,2,1,,,,,1,,,,
adfgh,676900,800-899,2,2,1,,,,,1,,,,
adfgh,713000,800-899,2,2,1,,,,,1,,,,
adfgh,838000,1000-1199,2,2,1,,,,,1,,,,
adfgh,720000,800-899,2,2,1,,,,,1,,,,
adfgh,690000,800-899,2,2,1,,,,,1,,,,
adfgh,550000,600-699,1,1,1,,,,,1,,,,
adfgh,510000,0-499,1,1,0,,,,,1,,,,
adfgh,491000,500-599,1,1,0,,,,,1,,,,
adfgh,650000,700-799,2,1,1,,,,,1,,,,
adfgh,744000,700-799,2,2,1,,,,,1,,,,
adfgh,650000,600-699,2,1,1,,,,,1,,,,
adfgh,695000,700-799,2,2,1,,,,,1,,,,
adfgh,462000,0-499,1,1,0,,,,,1,,,,
adfgh,517000,500-599,1,1,0,,,,,1,,,,
adfgh,924900,1000-1199,2,2,1,,,,,1,,,,
adfgh,729000,700-799,2,2,1,,,,,1,,,,
adfgh,643000,800-899,2,2,1,,,,,1,,,,
adfgh,750000,700-799,1,2,1,,,,,1,,,,
adfgh,670000,700-799,2,1,1,,,,,1,,,,
adfgh,1015000,1000-1199,2,2,1,,,,,1,,,,
adfgh,485000,500-599,1,1,0,,,,,1,,,,
adfgh,416000,0-499,0,1,0,,,,,1,,,,
adfgh,588000,600-699,1,1,1,,,,,1,,,,
adfgh,755000,800-899,2,2,1,,,,,1,,,,
adfgh,568000,600-699,1,1,1,,,,,1,,,,
adfgh,577000,600-699,1,1,1,,,,,1,,,,
adfgh,488000,0-499,1,1,1,,,,,1,,,,
adfgh,550000,500-599,1,1,1,,,,,1,,,,
adfgh,670000,700-799,2,2,1,,,,,1,,,,
adfgh,635000,800-899,1,2,1,,,,,1,,,,
adfgh,755000,900-999,2,2,1,,,,,1,,,,
adfgh,515600,500-599,1,1,1,,,,,1,,,,
adfgh,951500,800-899,2,2,1,,,,,1,,,,
adfgh,628000,700-799,2,2,1,,,,,1,,,,
adfgh,980000,1000-1199,2,2,1,,,,,1,,,,
adfgh,850000,900-999,2,2,1,,,,,1,,,,
adfgh,1220000,1000-1199,2,2,1,,,,,1,,,,
adfgh,787000,900-999,2,2,1,,,,,1,,,,
adfgh,535000,600-699,1,1,0,,,,,1,,,,
adfgh,740000,700-799,1,2,1,,,,,1,,,,
adfgh,630000,600-699,1,1,1,,,,,1,,,,
adfgh,560000,500-599,1,1,1,,,,,1,,,,
adfgh,668000,700-799,1,1,1,,,,,1,,,,
adfgh,560000,600-699,1,1,1,,,,,1,,,,
adfgh,590000,600-699,1,1,1,,,,,1,,,,
adfgh,740000,700-799,1,1,1,,,,,1,,,,
adfgh,755000,1000-1199,2,2,1,,,,,1,,,,
adfgh,539900,500-599,1,1,0,,,,,1,,,,
adfgh,680000,800-899,1,2,1,,,,,1,,,,
adfgh,730000,700-799,2,2,1,,,,,1,,,,
adfgh,725000,700-799,1,1,1,,,,,1,,,,
adfgh,791000,900-999,2,2,1,,,,,1,,,,
adfgh,650000,600-699,1,1,1,,,,,1,,,,
adfgh,680000,800-899,1,2,1,,,,,1,,,,
adfgh,600000,800-899,1,1,1,,,,,1,,,,
adfgh,615000,600-699,1,1,1,,,,,1,,,,
adfgh,589000,500-599,1,1,1,,,,,1,,,,
adfgh,740000,700-799,2,1,1,,,,,1,,,,
adfgh,679000,700-799,1,1,1,,,,,1,,,,
adfgh,652000,600-699,1,1,1,,,,,1,,,,
adfgh,519000,500-599,1,1,0,,,,,1,,,,
adfgh,765000,900-999,2,2,1,,,,,1,,,,
adfgh,790000,900-999,2,2,1,,,,,1,,,,
adfgh,928000,1000-1199,2,2,1,,,,,1,,,,
